sku,name,category,description,specs,precio_lista,precio_efectivo,precio_transferencia,precio_mayorista,precio_mayorista_transferencia,cuotas,cuota_valor,timestamp,images
8392,Microondas Smartlife 29 Litros Digital C/Grill Color Negro SL-MVO29MDGB (N°8392,Cocinas/Hornos/Microondas,,,212445,180578,191200,176329,179855,,,2026-08-04T09:53:57,organized_images/8392_Microondas_Smartlife_29_Litros_Digital_CGrill_Colo/8392_1.jpeg
9428,Anafe Eurocook 1 Hornalla con Resistencia 1000W (N°9428,Cocinas/Hornos/Microondas,,,17711,15054,15940,14700,14994,,,2026-08-04T09:53:57,organized_images/9428_Anafe_Eurocook_1_Hornalla_con_Resistencia_1000W_N9/9428_1.jpeg
7200,Anafe Eléctrico Vitrocerámico 60 Cm Negro Drean Aedr60cnv (N°7200,Cocinas/Hornos/Microondas,,,552643,469747,497379,458694,,,,2026-08-04T09:53:57,organized_images/7200_Anafe_Eléctrico_Vitrocerámico_60_Cm_Negro_Drean_Ae/7200_1.jpeg
1668,Cocina Escorial Candor S2 Negra Gas Natural (Candor S2) (N°1668,Cocinas/Hornos/Microondas,,,361300,307105,325170,299879,,,,2026-08-04T11:04:07,organized_images/1668_Cocina_Escorial_Candor_S2_Negra_Gas_Natural_Candor/1668_1.jpeg
1669,Cocina Escorial Candor Gas Envasado Con Puerta Con Visor Color Blanco (N°1669,Cocinas/Hornos/Microondas,,,354216,301084,318794,293999,317646,,,2026-08-04T11:04:07,organized_images/1669_Cocina_Escorial_Candor_Gas_Envasado_Con_Puerta_Con/1669_1.jpeg
7663,Metegol PROGOL Clásico Profesional Rojo,Varios,"🏆 Metegol PROGOL Clásico Profesional Rojo 🏆
(7663)
📏 Medidas :","> ✅ Estructura súper resistente
> ✅ Estadio de aluminio
> ✅ Piso de chapa
> ✅ Jugadores de aluminio
> ✅ Patas de caño estructural
> ✅ Pintura epoxi de alta resistencia
> ✅ Cuenta goles incorporado
• Largo: 1,40 m
• Ancho: 1 m
• Alto: 85 cm",341040,289884,306936,283063,,3,113680,2026-08-04T11:24:39,organized_images/7663_Metegol_PROGOL_Clásico_Profesional_Rojo/7663_1.jpeg
6426,COMBO ARGENTINO,Combos,"🌀 Secarropas Centrifugado 6kg 2800 Rpm Vitta Blanco (N°6426)
🌀 Lavarropas Semiautomático Superior 10 Kg 6 Programas Vitta Blanco (N°6611)",,355946,302554,308606,295435,,3,118649,2026-08-04T12:25:11,organized_images/6426_COMBO_ARGENTINO/6426_1.jpeg
6618,Colchon De Resorte Vitta Oasis 2 Plaza 140x190x23 Blanco (N°6618,Hogar/Baño,🛒 Colchon De Resorte Vitta Oasis 2 Plaza 140x190x23 Blanco (N°6618),,273230,232246,245907,226781,,,,2026-08-04T15:22:42,organized_images/6618_Colchon_De_Resorte_Vitta_Oasis_2_Plaza_140x190x23_/6618_1.jpeg
8956,Inflador Portátil Midow (N°8956,Pequeños Electrodomésticos,,,46347,39395,41712,38468,,,,2026-08-04T15:56:15,organized_images/8956_Inflador_Portátil_Midow_N8956/8956_1.jpeg
5925,Lijadora Profesional Orbital Kanji Tools 230W Kit LO2302GB Negro (N°5925,Cocinas/Hornos/Microondas,,,47524,40395,42772,39445,40234,,,2026-08-04T15:56:16,organized_images/5925_Lijadora_Profesional_Orbital_Kanji_Tools_230W_Kit_/5925_1.jpeg
5921,Rotomartillo Kanji Tools 800W Kit RM8002PB Negro (N°5921,Cocinas/Hornos/Microondas,,,72499,61624,65249,60174,61378,,,2026-08-04T15:56:16,organized_images/5921_Rotomartillo_Kanji_Tools_800W_Kit_RM8002PB_Negro_N/5921_1.jpeg
6003,Lijadora Profesional Orbital Rectangular Kanji Tools 200W Negro (N°6003,Cocinas/Hornos/Microondas,,,35089,29826,31580,29124,29707,,,2026-08-04T15:56:18,organized_images/6003_Lijadora_Profesional_Orbital_Rectangular_Kanji_Too/6003_1.jpeg
2490,Minitorno Konan Maletín & Accesorios 180W KMT/180 (N°2490,Herramientas,"⚙️ Velocidad: 5000 - 33000 RPM
🔩 Capacidad de boquilla 3.2 mm
⚡ Potencia 180W
🧰 Incluye accesorios
💰 Llevando 3u IGUALES $44.915
💰 Llevando 3u IGUALES $42.499",,50923,43285,45831,42266,,3,16975,2026-08-04T15:56:19,organized_images/2490_Minitorno_Konan_Maletín__Accesorios_180W_KMT180_N2/2490_1.jpeg
5401,Termofusora Konan 1500W KTEF/1500 (5401,Herramientas,,"✅ Uso profesional
✅ Temperatura 0-300°C
✅ Incluye maletín, tijera y pie
✅ Muy fácil de usar",61152,51979,55037,50756,,,,2026-08-04T15:56:20,organized_images/5401_Termofusora_Konan_1500W_KTEF1500_5401/5401_1.jpeg
5643,Combo Taladro 750W y Amoladora Angular 115 mm 720W Konan KCKITTAE (N°5643,Herramientas,,,66982,56935,60284,55595,56707,,,2026-08-04T15:56:20,organized_images/5643_Combo_Taladro_750W_y_Amoladora_Angular_115_mm_720W/5643_1.jpeg
6884,Taladro Percutor Konan 13 mm 750W KC13E (N°6884,Herramientas,,,32771,27855,29494,27200,27744,,,2026-08-04T15:56:20,organized_images/6884_Taladro_Percutor_Konan_13_mm_750W_KC13E_N6884/6884_1.jpeg
7051,Amoladora Angular Konan 115 mm 720W Corte y Desbaste Eléctrica Amarillo y Negro KC115 (N°7051,Herramientas,,,34830,29606,31347,28909,29487,,,2026-08-04T15:56:20,organized_images/7051_Amoladora_Angular_Konan_115_mm_720W_Corte_y_Desbas/7051_1.jpeg
6881,Hidrolavadora Konan 1300W KHI1300 (N°6881,Lavarropas/Secarropas,,,91678,77926,82510,76093,77615,,,2026-08-04T15:56:21,organized_images/6881_Hidrolavadora_Konan_1300W_KHI1300_N6881/6881_1.jpeg
6877,Aspiradora Sopladora Midow 1200W 15 Lts Líquidos y Polvo MDWA15 (N°6877,Pequeños Electrodomésticos,,,78611,66819,70750,65247,66552,,,2026-08-04T15:56:21,organized_images/6877_Aspiradora_Sopladora_Midow_1200W_15_Lts_Líquidos_y/6877_1.jpeg
5528,Equipo Pistola para Pintar Látex Midow 650W (N°5528,Pequeños Electrodomésticos,,,29714,25257,26743,24663,25156,,,2026-08-04T15:56:22,organized_images/5528_Equipo_Pistola_para_Pintar_Látex_Midow_650W_N5528/5528_1.jpeg
6880,Hidrolavadora Midow 1300W 105 Bar Caudal 360 L/h con Accesorios Celeste 50 Hz (N°6880,Lavarropas/Secarropas,,,86936,73896,78242,72157,73600,,,2026-08-04T15:56:22,organized_images/6880_Hidrolavadora_Midow_1300W_105_Bar_Caudal_360_Lh_co/6880_1.jpeg
6749,Chifonier 3 Cajones (6749,Hogar/Baño,,,97467,82847,87720,80898,,3,32489,2026-08-04T15:56:22,organized_images/6749_Chifonier_3_Cajones_6749/6749_1.jpeg
6753,Bajomesada Vitta 2 Puertas / 3 Cajones (6753,Hogar/Baño,,,109321,92923,98389,90736,,3,36440,2026-08-04T15:56:22,organized_images/6753_Bajomesada_Vitta_2_Puertas__3_Cajones_6753/6753_1.jpeg
6748,Mesa de Luz Vitta con Cajón (6748,Hogar/Baño,"📏 Medidas: 40 x 35,5 x 56,5 cm",,39514,33587,35563,32797,,3,13171,2026-08-04T15:56:23,organized_images/6748_Mesa_de_Luz_Vitta_con_Cajón_6748/6748_1.jpeg
2058,Termotanque Eléctrico Sirena 40LTS (N°2058,Cocinas/Hornos/Microondas,"🛒 Termotanque Eléctrico Sirena 40LTS (N°2058)
⚡ Soporte para colgar
⚡ Aislación térmica alta densidad
⚡ Conexión de agua superior e inferior
⚡ Medidas: 45 x 45 cm",,220147,187125,198133,182722,,3,73383,2026-08-04T15:56:23,organized_images/2058_Termotanque_Eléctrico_Sirena_40LTS_N2058/2058_1.jpeg
6167,Bomba Centrífuga de 3/4 HP KONAN KBC34 (N°6167,Herramientas,🛒 Bomba Centrífuga de 3/4 HP KONAN KBC34 (N°6167),,100820,85697,90738,83681,,,,2026-08-04T17:01:52,organized_images/6167_Bomba_Centrífuga_de_34_HP_KONAN_KBC34_N6167/6167_1.jpeg
6168,Bomba Centrífuga de 1 Hp KONAN-KBC1 (N°6168,Herramientas,📲 11 6795-8796,,98845,84018,88960,82041,83681,,,2026-08-04T17:02:15,organized_images/6168_Bomba_Centrífuga_de_1_Hp_KONAN-KBC1_N6168/6168_1.jpeg
7006,Compresor de Aire con Kit Konan 40 L 2 HP 8 Bar 135 L/min Doble Salida (N°7006,Herramientas,,,264094,224480,237685,219198,,,,2026-08-04T17:02:46,organized_images/7006_Compresor_de_Aire_con_Kit_Konan_40_L_2_HP_8_Bar_13/7006_1.jpeg
7007,Set Taladro Konan a Batería 12V + Herramientas KSET12V (N°7007,Herramientas,🛒 Set Taladro Konan a Batería 12V + Herramientas KSET12V (N°7007),,58686,49883,52817,48709,,,,2026-08-04T17:03:19,organized_images/7007_Set_Taladro_Konan_a_Batería_12V__Herramientas_KSET/7007_1.jpeg
7039,Grifería para Baño con Juego de Ducha,Hogar/Baño,(7039),"* ✅ Incluye grifería y juego de ducha completo
* ✅ Diseño moderno y terminación de calidad
* ✅ Ideal para renovar tu baño con estilo y funcionalidad",31164,26489,27020,25866,,3,10388,2026-08-04T17:04:17,organized_images/7039_Grifería_para_Baño_con_Juego_de_Ducha/7039_1.jpeg
7043,Grifería Cocina Monocomando Acero Inoxidable,Cocinas/Hornos/Microondas,(7043),"* ✅ Fabricada en acero inoxidable
* ✅ Monocomando para regular agua fría y caliente fácilmente
* ✅ Diseño moderno, ideal para cualquier cocina",52332,44482,45372,43436,,3,17444,2026-08-04T17:04:59,organized_images/7043_Grifería_Cocina_Monocomando_Acero_Inoxidable/7043_1.jpeg
7044,Grifería Cocina Monocomando,Cocinas/Hornos/Microondas,(7044),"* ✅ Monocomando práctico y fácil de usar
* ✅ Diseño moderno para renovar tu cocina
* ✅ Calidad y durabilidad para el uso diario",27056,22998,23458,22456,,3,901867,2026-08-04T17:05:34,organized_images/7044_Grifería_Cocina_Monocomando/7044_1.jpeg
9017,Grifería Cocina Monocomando Negra Ø35,Cocinas/Hornos/Microondas,(9017),"* ✅ Elegante terminación color negro mate
* ✅ Monocomando para mayor comodidad de uso
* ✅ Diseño moderno con pico redondo",21756,18493,18863,18057,,3,7252,2026-08-04T17:06:06,organized_images/9017_Grifería_Cocina_Monocomando_Negra_Ø35/9017_1.jpeg
07221,Cocina Vitta Multigas 52 Cm Puerta Y Respaldar De Vidrio (07221) Negro Multigas (N°6032,Cocinas/Hornos/Microondas,,,301204,256023,271084,249999,254999,,,2026-08-04T17:08:45,organized_images/07221_Cocina_Vitta_Multigas_52_Cm_Puerta_Y_Respaldar_De_/07221_1.jpeg
5923,Atornillador Inalámbrico Kanji Tools 12V KIT-AT121PB (N°5923,Cocinas/Hornos/Microondas,💸 $30.164,"✅ Velocidad 0–750 r/min
✅ Torque 16 Nm
✅ Empuñadura ergonómica
✅ Voltaje 12V",30164,25639,27148,25036,,,,2026-08-04T17:10:31,organized_images/5923_Atornillador_Inalámbrico_Kanji_Tools_12V_KIT-AT121/5923_1.jpeg
AUTO-20260804171115-1412,Horno Eléctrico SmartLife 30 Litros[9586,Cocinas/Hornos/Microondas,,"* ✅ Capacidad de 30 litros, ideal para toda la familia
* ✅ Perfecto para hornear, gratinar y recalentar
* ✅ Control de temperatura y timer para una cocción precisa",112940,95999,97919,93740,,3,37647,2026-08-04T17:11:15,organized_images/AUTO-20260804171115-1412_Horno_Eléctrico_SmartLife_30_Litros9586/AUTO-20260804171115-1412_1.jpeg
7215,Cajonera 3x15L Negro Yute PLORPLI303287 (N°7215,Hogar/Baño,"🗄️ Posee 3 cajones amplios
🧱 Material plástico resistente
📏 Medidas: 40 x 30 x 60 cm
🪶 Diseño práctico y liviano
💸 $39.999",,39999,33999,35999,33199,,,,2026-08-04T17:13:35,organized_images/7215_Cajonera_3x15L_Negro_Yute_PLORPLI303287_N7215/7215_1.jpeg
4853,Tostadora Vitta Verde Doble (N°4853,Pequeños Electrodomésticos,"🏷️ Minorista $17.909
📲 11 6795-8796",,19899,16914,17909,17511,,3,6633,2026-08-04T17:14:45,organized_images/4853_Tostadora_Vitta_Verde_Doble_N4853/4853_1.jpeg
AUTO-20260804171537-1444,Celular Motorola G04 4 GB / 64 GB,Celulares,🛒 Celular Motorola G04 4 GB / 64 GB,,221204,188023,199084,183599,,,,2026-08-04T17:15:37,organized_images/AUTO-20260804171537-1444_Celular_Motorola_G04_4_GB__64_GB/AUTO-20260804171537-1444_1.jpeg
